sample_number,species,collector,collection,country,dna_concentration,library_id,filename_root
1,S_paralias,Demuner,4839,Brazil,92.0,S-1,PREP0024_RAsprSUB09764A_B10v1_S-1
2,S_paralias,Machado,76247,Brazil,1.4,S-2,PREP0025_RAsprSUB09764A_E05v1_S-2
3,S_paralias,Amorim et al.,1533,Brazil,11.2,S-3,PREP0023_RAsprSUB09764A_A05v1_S-3
4,S_paralias,Andrade,321,Brazil,45.2,S-4,PREP0024_RAsprSUB09764A_G07v1_S-4
5,S_paralias,Anderson,13695,Brazil,1.36,S-5,PREP0025_RAsprSUB09764A_G05v1_S-5
6,S_paralias,Harley,27091,Brazil,40.6,S-6,PREP0024_RAsprSUB09764A_E11v1_S-6
7,S_paralias,Santos,308,Brazil,35.0,S-7,PREP0024_RAsprSUB09764A_H07v1_S-7
8,S_paralias,Harley et al.,17124,Brazil,4.66,S-8,PREP0023_RAsprSUB09764A_F02v1_S-8
9,S_paralias,Harley et al.,19324,Brazil,0.140,S-9,PREP0026_RAsprSUB09764A_E09v1_S-9
10,S_paralias,Irwin et al.,32560,Brazil,0.784,S-10,PREP0025_RAsprSUB09764A_D09v1_S-10
11,S_ciliatum,Hatschbach,44965,Brazil,35.2,S-11,PREP0024_RAsprSUB09764A_F10v1_S-11
12,S_ciliatum,Anderson,11656,Brazil,0.236,S-12,PREP0026_RAsprSUB09764A_A06v1_S-12
13,S_ciliatum,Krapovickas & Cristóbal,37737,Brazil,1.89,S-13,PREP0025_RAsprSUB09764A_F03v1_S-13
14,S_ciliatum,Hatschbach,35745,Brazil,5.94,S-14,PREP0023_RAsprSUB09764A_G10v1_S-14
15,S_ciliatum,Vincent,6222,Belize,25.0,S-15,PREP0024_RAsprSUB09764A_A11v1_S-15
16,S_ciliatum,Harley et al.,18016,Brazil,0.136,S-16,PREP0026_RAsprSUB09764A_H09v1_S-16
17,S_ciliatum,Clare,153,Honduras,0.304,S-17,PREP0026_RAsprSUB09764A_B03v1_S-17
18,S_ciliatum,Eiten & Eiten,7858,Brazil,0.0,S-18,PREP0026_RAsprSUB09764A_H12v1_S-18
19,S_ciliatum,Krapovickas & Cristóbal,40317,Brazil,12.3,S-19,PREP0024_RAsprSUB09764A_A09v1_S-19
20,S_ciliatum,Souza-Silva,11,Brazil,5.22,S-20,PREP0023_RAsprSUB09764A_G03v1_S-20
21,S_jatrophifolium,Zardini & Tilleria ,30774,Paraguay,too high,S-21,PREP0023_RAsprSUB09764A_A07v1_S-21
22,S_jatrophifolium,Zardini & Degen,4026,Paraguay,77.8,S-22,PREP0024_RAsprSUB09764A_A08v1_S-22
23,S_jatrophifolium,Krapovickas & Cristóbal,28978,Argentina,19.9,S-23,PREP0024_RAsprSUB09764A_G01v1_S-23
24,S_jatrophifolium,Vanni et al.,2944,Argentina,4.26,S-24,PREP0023_RAsprSUB09764A_D10v1_S-24
25,S_jatrophifolium,Anderson,12371,Argentina,86.4,S-25,PREP0024_RAsprSUB09764A_A12v1_S-25
26,S_jatrophifolium,Vanni et al.,3323,Argentina,76.8,S-26,PREP0024_RAsprSUB09764A_B12v1_S-26
27,S_jatrophifolium,Ortíz & Zardini,665,Paraguay,32.4,S-27,PREP0024_RAsprSUB09764A_H10v1_S-27
28,S_jatrophifolium,Troncoso et al.,1341,Argentina,11.6,S-28,PREP0023_RAsprSUB09764A_F12v1_S-28
29,S_jatrophifolium,Duarte,1719,Brazil,6.66,S-29,PREP0023_RAsprSUB09764A_E09v1_S-29
30,S_jatrophifolium,Zardini & Velásquez,10031,Paraguay,10.3,S-30,PREP0024_RAsprSUB09764A_D05v1_S-30
31,S_bonariense,Schinini & Cristóbal,13659,Argentina,4.98,S-31,PREP0023_RAsprSUB09764A_A09v1_S-31
32,S_bonariense,Hatschbach,51921,Brazil,66.4,S-32,PREP0024_RAsprSUB09764A_G12v1_S-32
33,S_bonariense,Quarinet et al.,2692,Argentina,0.932,S-33,PREP0025_RAsprSUB09764A_E08v1_S-33
34,S_bonariense,Landrum,3067,Argentina,0.412,S-34,PREP0025_RAsprSUB09764A_F12v1_S-34
35,S_bonariense,Belgrano et al.,293,Argentina,63.2,S-35,PREP0024_RAsprSUB09764A_C08v1_S-35
36,S_bonariense,Vanni et al.,3264,,89.2,S-36,PREP0024_RAsprSUB09764A_F12v1_S-36
37,S_bonariense,Zardini & Gamarra,59207,Paraguay,53.2,S-37,PREP0024_RAsprSUB09764A_D11v1_S-37
38,S_bonariense,Duarte,1803,Brazil,0.862,S-38,PREP0025_RAsprSUB09764A_G08v1_S-38
39,S_bonariense,Zardini & Vieira,43963,Paraguay,56.4,S-39,PREP0024_RAsprSUB09764A_F09v1_S-39
40,S_bonariense,Arbo et al.,6045,Argentina,77.0,S-40,PREP0024_RAsprSUB09764A_H12v1_S-40
41,S_ellipticum,Llates Q,770,Venezuela,97.4,S-41,PREP0024_RAsprSUB09764A_H09v1_S-41
42,S_ellipticum,Antonio,4632,Panama,3.96,S-42,PREP0023_RAsprSUB09764A_H05v1_S-42
43,S_ellipticum,Almeda,5543,Costa Rica,85.2,S-43,PREP0024_RAsprSUB09764A_G11v1_S-43
44,S_ellipticum,Pendry,934,Mexico,too high,S-44,PREP0024_RAsprSUB09764A_D01v1_S-44
45,S_ellipticum,Medina,244,Honduras,3.0,S-45,PREP0023_RAsprSUB09764A_E06v1_S-45
46,S_ellipticum,Naczi,11295,Belize,88.6,S-46,PREP0024_RAsprSUB09764A_E12v1_S-46
47,S_ellipticum,Stevens,3642,Nicaragua,22.4,S-47,PREP0024_RAsprSUB09764A_C10v1_S-47
48,S_ellipticum,Rosales,520,El Salvador,40.0,S-48,PREP0024_RAsprSUB09764A_G08v1_S-48
49,S_ellipticum,Lorence,3071,Mexico,91.6,S-49,PREP0024_RAsprSUB09764A_A10v1_S-49
50,S_ellipticum,MacDougal,634GR,Guatemala,too high,S-50,PREP0024_RAsprSUB09764A_G05v1_S-50
51,S_emarginatum,Gentry & Zardini,50498,Puerto Rico,43.8,S-51,PREP0024_RAsprSUB09764A_B05v1_S-51
52,S_emarginatum,Veloz et al.,251,Dominican Republic,44.4,S-52,PREP0024_RAsprSUB09764A_B08v1_S-52
53,S_emarginatum,Yunckev,17293,Jamaica,26.4,S-53,PREP0023_RAsprSUB09764A_A12v1_S-53
54,S_emarginatum,Holdridge,1077,Haiti,0.788,S-54,PREP0025_RAsprSUB09764A_C09v1_S-54
55,S_emarginatum,Webster et al.,8229,Jamaica,52.4,S-55,PREP0024_RAsprSUB09764A_A07v1_S-55
56,S_emarginatum,Zanoni et al.,33306,Dominican Republic,0.100,S-56,PREP0026_RAsprSUB09764A_F11v1_S-56
57,S_emarginatum,Yntema,354A,St. Croix,0.260,S-57,PREP0026_RAsprSUB09764A_A05v1_S-57
58,S_emarginatum,Croat,60848,Puerto Rico,43.6,S-58,PREP0024_RAsprSUB09764A_F11v1_S-58
59,S_emarginatum,Howard & Kellogg,19057,Anguilla,19.4,S-59,PREP0023_RAsprSUB09764A_G06v1_S-59
60,S_emarginatum,Colella et al.,1286,Dominican Republic,28.4,S-60,PREP0024_RAsprSUB09764A_D12v1_S-60
61,S_puberum,LeDoux et al.,2094,Guatemala,39.2,S-61,PREP0024_RAsprSUB09764A_A05v1_S-61
62,S_puberum,Revilla,2275,Peru,0.728,S-62,PREP0025_RAsprSUB09764A_F09v1_S-62
63,S_puberum,Hammel,4583,Panama,2.18,S-63,PREP0025_RAsprSUB09764A_F02v1_S-63
64,S_puberum,Hollowell,626,Guyana,46.4,S-64,PREP0024_RAsprSUB09764A_C11v1_S-64
65,S_puberum,Feddema,1894,Colombia,72.2,S-65,PREP0024_RAsprSUB09764A_D09v1_S-65
66,S_puberum,Steyermark,87775,Venezuela,100.0,S-66,PREP0024_RAsprSUB09764A_B09v1_S-66
67,S_puberum,Martínez S.,1696,Nicaragua,5.36,S-67,PREP0023_RAsprSUB09764A_A11v1_S-67
68,S_puberum,Wilbur,23362,Costa Rica,19.5,S-68,PREP0024_RAsprSUB09764A_C02v1_S-68
69,S_puberum,Strudwick & Sobel,3353,Brazil,49.8,S-69,PREP0024_RAsprSUB09764A_C07v1_S-69
70,S_puberum,Ernst,1358,Dominica,3.96,S-70,PREP0023_RAsprSUB09764A_H09v1_S-70
71,S_lindenianum,Daniel,7061,Belize,66.0,S-71,PREP0024_RAsprSUB09764A_F07v1_S-71
72,S_lindenianum,Gentry,2737,Panama,5.74,S-72,PREP0023_RAsprSUB09764A_G04v1_S-72
73,S_lindenianum,Nelson & Cruz,8813,Honduras,26.6,S-73,PREP0024_RAsprSUB09764A_A03v1_S-73
74,S_lindenianum,Cabrera,11193,Mexico,6.08,S-74,PREP0023_RAsprSUB09764A_H07v1_S-74
75,S_lindenianum,Túnortiz,2137,Guatemala,0.276,S-75,PREP0026_RAsprSUB09764A_A04v1_S-75
76,S_lindenianum,Webster & Armbruster,20952,Mexico,8.86,S-76,PREP0023_RAsprSUB09764A_H02v1_S-76
77,S_lindenianum,Pascual,2053,Mexico,66.2,S-77,PREP0024_RAsprSUB09764A_F06v1_S-77
78,S_lindenianum,Anderson,13790,Costa Rica,85.0,S-78,PREP0024_RAsprSUB09764A_C09v1_S-78
79,S_lindenianum,Hammel,12283,Costa Rica,17.4,S-79,PREP0024_RAsprSUB09764A_C01v1_S-79
80,S_lindenianum,Gentry,7927,Belize,0.180,S-80,PREP0026_RAsprSUB09764A_A08v1_S-80
81,S_bogotense,Sánchez V. et al.,9598,Peru,49.0,S-81,PREP0024_RAsprSUB09764A_F08v1_S-81
82,S_bogotense,Lugo S.,1327,Ecuador,2.88,S-82,PREP0025_RAsprSUB09764A_C01v1_S-82
83,S_bogotense,Neill & Cerón,7556,Ecuador,42.0,S-83,PREP0024_RAsprSUB09764A_F04v1_S-83
84,S_bogotense,López M.,8806,Venezuela,2.6,S-84,PREP0025_RAsprSUB09764A_A02v1_S-84
85,S_bogotense,Tuberguia et al.,54,Colombia,2.8,S-85,PREP0025_RAsprSUB09764A_E01v1_S-85
86,S_bogotense,Callejas et al.,8510,Colombia,20.8,S-86,PREP0023_RAsprSUB09764A_E12v1_S-86
87,S_bogotense,Chase,14803,Ecuador,2.38,S-87,PREP0025_RAsprSUB09764A_D02v1_S-87
88,S_bogotense,Jones,9119,Peru,1.19,S-88,PREP0025_RAsprSUB09764A_B07v1_S-88
89,S_bogotense,Devia,368,Colombia,5.94,S-89,PREP0023_RAsprSUB09764A_F03v1_S-89
90,S_bogotense,Molav & Eriksen,2161,Ecuador,2.18,S-90,PREP0025_RAsprSUB09764A_G02v1_S-90
91,S_bannisterioides,Milliken et al.,176,Venezuela,0.274,S-91,PREP0026_RAsprSUB09764A_B04v1_S-91
92,S_bannisterioides,Granville,8353,French Guiana,40.8,S-92,PREP0024_RAsprSUB09764A_G09v1_S-92
93,S_bannisterioides,Steyermark et al.,114709,Venezuela,0.114,S-93,PREP0026_RAsprSUB09764A_B11v1_S-93
94,S_bannisterioides,Feddema,2033,Colombia,120.0,S-94,PREP0024_RAsprSUB09764A_C12v1_S-94
95,S_bannisterioides,Webster & Miller,9785,Tobago,51.6,S-95,PREP0024_RAsprSUB09764A_D08v1_S-95
96,S_bannisterioides,Webster & Wilson,5229,Jamaica,1.1,S-96,PREP0025_RAsprSUB09764A_D07v1_S-96
97,S_bannisterioides,Ventura A.,20404,Mexico,18.4,S-97,PREP0023_RAsprSUB09764A_E03v1_S-97
98,S_bannisterioides,Hahn,4814,Guyana,too high,S-98,PREP0024_RAsprSUB09764A_C03v1_S-98
99,S_bannisterioides,Fernandes EAC,20118,"Brazil, Ceará",too high,S-99,PREP0023_RAsprSUB09764A_A04v1_S-99
100,S_bannisterioides,Sobel et al.,4749,"Brazil, Pará",too high,S-100,PREP0023_RAsprSUB09764A_H03v1_S-100
